COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 74; 40.29; 39.5615; 28.866; Distance; 17.23
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 75; 40.29; 46.7545; 28.866; Distance; 22.44
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 76; 26.86; 43.158; 28.866; Distance; 14.39
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 77; 13.43; 46.7545; 28.866; Distance; 22.44
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 78; 26.86; 28.772; 14.433; Distance; 14.43
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 79; 26.86; 43.158; 14.433; Distance; 20.38
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 80; 13.43; 39.5615; 14.433; Distance; 22.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 81; 13.43; 32.3685; 14.433; Distance; 20.04
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 82; 26.86; 35.965; 14.433; Distance; 16.13
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 83; 13.43; 46.7545; 14.433; Distance; 26.68
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 84; 40.29; 46.7545; 14.433; Distance; 26.68
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 85; 26.86; 50.351; 14.433; Distance; 25.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 86; 40.29; 32.3685; 14.433; Distance; 20.04
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 87; 40.29; 39.5615; 14.433; Distance; 22.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 88; 40.29; 25.1755; 14.433; Distance; 20.04
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 89; 26.86; 21.579; 14.433; Distance; 16.13
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 90; 13.43; 25.1755; 14.433; Distance; 20.04
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 91; 13.43; 10.7895; 14.433; Distance; 26.68
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 92; 13.43; 17.9825; 14.433; Distance; 22.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 93; 26.86; 14.386; 14.433; Distance; 20.38
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 94; 40.29; 10.7895; 14.433; Distance; 26.68
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 95; 40.29; 17.9825; 14.433; Distance; 22.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 96; 26.86; 7.193; 14.433; Distance; 25.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 97; 13.43; 28.772; 21.6495; Distance; 15.25
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 98; 13.43; 43.158; 21.6495; Distance; 20.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 99; 26.86; 32.3685; 21.6495; Distance; 8.06
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 100; 13.43; 35.965; 21.6495; Distance; 16.86
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 101; 26.86; 39.5615; 21.6495; Distance; 12.98
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 102; 13.43; 50.351; 21.6495; Distance; 26.42
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 103; 26.86; 46.7545; 21.6495; Distance; 19.38
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 104; 40.29; 50.351; 21.6495; Distance; 26.42
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 105; 40.29; 43.158; 21.6495; Distance; 20.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 106; 40.29; 35.965; 21.6495; Distance; 16.86
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 107; 40.29; 28.772; 21.6495; Distance; 15.25
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 108; 40.29; 21.579; 21.6495; Distance; 16.86
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 109; 26.86; 25.1755; 21.6495; Distance; 8.06
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 110; 13.43; 21.579; 21.6495; Distance; 16.86
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 111; 40.29; 14.386; 21.6495; Distance; 20.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 112; 13.43; 14.386; 21.6495; Distance; 20.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 113; 26.86; 17.9825; 21.6495; Distance; 12.98
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 114; 13.43; 7.193; 21.6495; Distance; 26.42
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 115; 26.86; 10.7895; 21.6495; Distance; 19.38
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 116; 40.29; 7.193; 21.6495; Distance; 26.42
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 117; 13.43; 50.351; 7.2165; Distance; 33.39
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 118; 13.43; 43.158; 7.2165; Distance; 29.26
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 119; 13.43; 28.772; 7.2165; Distance; 25.48
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 120; 13.43; 35.965; 7.2165; Distance; 26.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 121; 26.86; 39.5615; 7.2165; Distance; 24.19
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 122; 26.86; 32.3685; 7.2165; Distance; 21.95
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 123; 26.86; 46.7545; 7.2165; Distance; 28.14
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 124; 40.29; 50.351; 7.2165; Distance; 33.39
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 125; 40.29; 43.158; 7.2165; Distance; 29.26
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 126; 40.29; 28.772; 7.2165; Distance; 25.48
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 127; 40.29; 35.965; 7.2165; Distance; 26.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 128; 13.43; 21.579; 7.2165; Distance; 26.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 129; 26.86; 25.1755; 7.2165; Distance; 21.95
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 130; 40.29; 21.579; 7.2165; Distance; 26.47
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 131; 13.43; 7.193; 7.2165; Distance; 33.39
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 132; 26.86; 10.7895; 7.2165; Distance; 28.14
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 133; 13.43; 14.386; 7.2165; Distance; 29.26
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 134; 26.86; 17.9825; 7.2165; Distance; 24.19
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 135; 40.29; 14.386; 7.2165; Distance; 29.26
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 136; 40.29; 7.193; 7.2165; Distance; 33.39
